Country name,year,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Regional indicator
Germany,2022,6.608,10.889,0.916,71.5,0.895,0.08,0.417,Western Europe
Germany,2023,6.792,10.878,0.895,71.7,0.845,0.106,0.46,Western Europe
Ghana,2022,4.191,8.613,0.628,59.125,0.786,0.114,0.909,Sub-Saharan Africa
Ghana,2023,4.298,8.61,0.661,59.5,0.834,0.093,0.892,Sub-Saharan Africa
Greece,2022,5.9,10.358,0.875,71.275,0.563,-0.318,0.874,Western Europe
Greece,2023,5.796,10.387,0.818,71.4,0.589,-0.223,0.805,Western Europe
Guatemala,2022,6.15,9.123,0.806,62.9,0.856,-0.06,0.835,Latin America and Caribbean
Guatemala,2023,6.421,9.14,0.796,63.1,0.873,-0.049,0.812,Latin America and Caribbean
Guinea,2022,5.317,7.901,0.582,54.65,0.729,0.136,0.77,Sub-Saharan Africa
Guinea,2023,4.827,7.932,0.577,55.1,0.743,0.187,0.791,Sub-Saharan Africa
Honduras,2022,5.932,8.65,0.729,64.275,0.851,0.078,0.834,Latin America and Caribbean
Honduras,2023,5.861,8.67,0.731,64.7,0.878,0.079,0.784,Latin America and Caribbean
Hong Kong S.A.R. of China,2022,5.311,10.976,0.803,69.64285714285714,0.697,0.04,0.383,East Asia
Hungary,2022,5.861,10.47,0.937,67.65,0.776,-0.009,0.848,Central and Eastern Europe
Hungary,2023,5.965,10.473,0.954,67.8,0.755,-0.002,0.847,Central and Eastern Europe
Iceland,2022,7.449,10.916,0.985,72.075,0.936,0.222,0.692,Western Europe
Iceland,2023,7.562,10.934,0.979,72.1,0.918,0.299,0.697,Western Europe
India,2022,3.93,8.867,0.608,61.2,0.893,0.085,0.771,South Asia
India,2023,4.676,8.919,0.633,61.5,0.9,0.121,0.77,South Asia
Indonesia,2022,5.585,9.426,0.834,63.175,0.903,0.516,0.862,Southeast Asia
Indonesia,2023,5.695,9.466,0.781,63.3,0.9,0.59,0.866,Southeast Asia
Iran,2022,4.977,9.636,0.8,66.75,0.57,0.209,0.766,Middle East and North Africa
Iran,2023,5.004,9.651,0.809,66.9,0.615,0.254,0.764,Middle East and North Africa
Iraq,2022,4.928,9.127,0.753,64.125,0.661,0.068,0.855,Middle East and North Africa
Iraq,2023,5.475,9.093,0.734,64.6,0.658,-0.017,0.851,Middle East and North Africa
Ireland,2022,6.87,11.643,0.906,71.4,0.895,0.138,0.358,Western Europe
Ireland,2023,6.817,11.676,0.921,71.5,0.903,0.182,0.373,Western Europe
Israel,2022,7.662,10.698,0.954,72.85,0.775,-0.007,0.655,Middle East and North Africa
Israel,2023,6.783,10.707,0.952,73.0,0.797,0.146,0.636,Middle East and North Africa
Italy,2022,6.258,10.687,0.869,72.125,0.711,0.026,0.819,Western Europe
Italy,2023,6.245,10.703,0.851,72.2,0.699,-0.053,0.819,Western Europe
Ivory Coast,2022,4.849,8.619,0.536,56.525,0.713,-0.009,0.743,Sub-Saharan Africa
Ivory Coast,2023,5.337,8.656,0.623,57.1,0.753,-0.057,0.676,Sub-Saharan Africa
Jamaica,2022,5.87,9.212,0.868,66.6,0.874,-0.091,0.91,Latin America and Caribbean
Japan,2022,6.178,10.637,0.899,74.475,0.789,-0.237,0.643,East Asia
Japan,2023,5.91,10.654,0.842,74.6,0.777,-0.222,0.594,East Asia
Jordan,2022,4.356,9.14,0.774,67.6,0.759,-0.156,0.715,Middle East and North Africa
Jordan,2023,4.292,9.151,0.721,67.6,0.754,-0.143,0.651,Middle East and North Africa
Kazakhstan,2022,6.006,10.169,0.923,66.2,0.883,0.022,0.72,Commonwealth of Independent States
Kazakhstan,2023,6.299,10.172,0.929,66.6,0.901,0.05,0.812,Commonwealth of Independent States
Kenya,2022,4.448,8.493,0.691,58.9,0.706,0.292,0.878,Sub-Saharan Africa
Kenya,2023,4.496,8.523,0.703,59.3,0.736,0.316,0.8,Sub-Saharan Africa
Kosovo,2022,6.16,9.431,0.888,68.28046875,0.865,0.208,0.846,Central and Eastern Europe
Kosovo,2023,6.878,9.48,0.807,68.28046875,0.9,0.285,0.811,Central and Eastern Europe
Kuwait,2022,6.758,10.803,0.874,70.025,0.969,0.142,0.7710869565217391,Middle East and North Africa
